date,symbol,open,close,low, high, volume, dailyChangePercentage
2015-01-15T21:38:00-02:00[America/Sao_Paulo],BTC,204.04,211.91,203.43,211.91,1.34,3.7148
2015-01-15T22:38:00-02:00[America/Sao_Paulo],BTC,211.91,206.61,203.95,211.91,1.18,-2.5011
2015-01-15T23:38:00-02:00[America/Sao_Paulo],BTC,207.34,207.55,203.9,211.89,1.31,0.455
2015-01-16T00:38:00-02:00[America/Sao_Paulo],BTC,210.71,212.0,203.0,212.0,1.25,2.1441
2015-01-16T01:38:00-02:00[America/Sao_Paulo],BTC,212.0,205.0,190.0,225.5,0.74,-3.3019
2015-01-16T02:38:00-02:00[America/Sao_Paulo],BTC,205.0,189.0,189.0,205.0,0.6,-7.8049
2015-01-16T03:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T04:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T05:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T06:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T07:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T08:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T09:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T10:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T11:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T12:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T13:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T14:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T15:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T16:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
