Date,Symbol,Open,Close,Low,High,Volume BTC,Volume USD
2019-08-09 03-PM,BTC,11761,11718.5,11700,11761,109.51,1284137.57
2019-08-09 02-PM,BTC,11810.1,11761,11670,11822,242.82,2846948.53
2019-08-09 01-PM,BTC,11750.1,11810.1,11737,11861,298.52,3529241.27
2019-08-09 12-PM,BTC,11694.5,11750.1,11660,11766.3,120.89,1416967.02
2019-08-09 11-AM,BTC,11688.1,11694.5,11675.7,11750,155.79,1824940.18
2019-08-09 10-AM,BTC,11750.5,11688.1,11660,11787,190.73,2235656.15
2019-08-09 09-AM,BTC,11819,11750.5,11683.2,11835.5,339.32,3987824.27
2019-08-09 08-AM,BTC,11835,11819,11785.7,11973.2,539.82,6416882.68
2019-08-09 07-AM,BTC,11849.1,11835,11781.6,11850.3,538.17,6361304.53
2019-08-09 06-AM,BTC,11848.3,11849.1,11789,11855,107.23,1267512.59
2019-08-09 05-AM,BTC,11883.8,11848.3,11800,11888.5,154.05,1825057.83
2019-08-09 04-AM,BTC,11848,11883.8,11848,11913.4,56.35,669957.07
2019-08-09 03-AM,BTC,11918.8,11848,11833.7,11925,92.75,1102192.46
2019-08-09 02-AM,BTC,11895,11918.8,11865.1,11918.8,53.41,634681.94
2019-08-09 01-AM,BTC,11948,11895,11872.1,11950,226.41,2694232.54
2019-08-09 12-AM,BTC,11982.6,11948,11888.1,12042,439.02,5249033.96
2019-08-08 11-PM,BTC,11815.7,11982.6,11814.9,12065,770.27,9202245.42
2019-08-08 10-PM,BTC,11705,11815.7,11704.9,11850,207.76,2447798.92
2019-08-08 09-PM,BTC,11597.5,11705,11584.1,11749.2,319.72,3732587.8
2019-08-08 08-PM,BTC,11563.8,11597.5,11490.8,11599,212.4,2454119.73
2019-08-08 07-PM,BTC,11615.5,11563.8,11505,11643.9,188.94,2186976.3
2019-08-08 06-PM,BTC,11547.1,11615.5,11501.3,11646.9,259.1,3002154.81
2019-08-08 05-PM,BTC,11708.5,11547.1,11472.6,11730.5,587.92,6803644.84
2019-08-08 04-PM,BTC,11675.2,11708.5,11640.3,11775,259.17,3035422.27
2019-08-08 03-PM,BTC,11708.6,11675.2,11670,11757,171.96,2015626.91
2019-08-08 02-PM,BTC,11679.7,11708.6,11603,11734.9,313.32,3658307.69
2019-08-08 01-PM,BTC,11850,11679.7,11667,11850.1,297.87,3498783.01
2019-08-08 12-PM,BTC,11817,11850,11740.3,11908.8,244.46,2892739.58
