date,symbol,open,close,low, high, volume
2015-05-11,BTC,242.38,241.15,239.5,245.49,8264.94696774002
2015-05-12,BTC,241.11,242.8,240.37,243.0,6551.810249319997
2015-05-13,BTC,242.71,237.17,235.54,244.11,11953.49124815
2015-05-14,BTC,237.12,237.94,232.61,240.0,10004.791846810009
2015-05-15,BTC,237.94,237.56,236.89,239.0,9857.97687363
2015-05-16,BTC,237.54,236.72,235.48,237.99,2783.9824032300285
2015-05-17,BTC,236.72,237.15,236.62,238.19,5752.45657682
2015-05-18,BTC,237.15,234.29,231.66,237.89,7772.159919489986
2015-05-19,BTC,234.21,233.5,231.53,234.9,7609.101522330021
2015-05-20,BTC,233.46,234.72,232.62,234.99,7199.868058549995
2015-05-21,BTC,234.7,236.34,234.47,236.74,6579.258024809986
2015-05-22,BTC,236.31,239.56,235.11,241.9,8253.090134640002
2015-05-23,BTC,239.46,239.51,238.49,240.64,4057.7746057799977
2015-05-24,BTC,239.51,241.08,238.27,242.0,4275.262760480006
2015-05-25,BTC,241.08,237.94,236.71,241.4,4686.6583818600075
2015-05-26,BTC,237.85,237.33,235.81,238.34,7028.348299709994
2015-05-27,BTC,237.38,237.96,236.47,238.7,6805.014482979995
2015-05-28,BTC,237.96,237.1,236.23,238.48,6783.701089579998
2015-05-29,BTC,237.1,236.6,235.01,237.68,6306.13129556
2015-05-30,BTC,236.6,233.9,231.0,236.63,6955.101688020005
2015-05-31,BTC,233.89,230.68,229.16,233.93,6906.001198260009
2015-06-01,BTC,230.68,223.43,221.58,230.99,10675.167142139995
2015-06-02,BTC,223.28,226.8,221.84,227.42,9020.681424890017
2015-06-03,BTC,226.8,225.65,223.82,227.0,6942.912070789995
2015-06-04,BTC,225.6,224.24,223.56,225.99,6405.6652101599975
2015-06-05,BTC,224.21,224.76,223.01,226.74,7030.176208029991
2015-06-06,BTC,224.76,225.65,224.27,226.09,4163.911947740013
2015-06-07,BTC,225.65,224.82,222.88,225.81,4102.5611282200025
2015-06-08,BTC,224.76,228.59,223.92,230.09,7445.925340199995
2015-06-09,BTC,228.54,229.19,228.34,231.91,6653.571255299989
2015-06-10,BTC,229.17,229.0,227.98,230.45,6445.874496340001
2015-06-11,BTC,229.07,229.22,228.88,230.75,6346.456686050003
2015-06-12,BTC,229.2,229.73,228.79,231.32,6062.707957069993
2015-06-13,BTC,229.73,233.33,229.59,233.59,4635.247858709996
2015-06-14,BTC,233.34,235.62,233.06,235.64,3797.884434700017
2015-06-15,BTC,235.63,237.44,234.57,238.49,6732.519343659997
2015-06-16,BTC,237.44,248.82,236.6,254.32,11084.161451159984
2015-06-17,BTC,248.68,250.63,247.0,258.88,10006.42346145
2015-06-18,BTC,250.63,250.43,243.51,253.29,7862.861477969992
2015-06-19,BTC,250.42,244.24,244.2,251.0,6275.923972540003
2015-06-20,BTC,244.24,244.43,240.46,246.99,4931.537613040002
2015-06-21,BTC,244.42,245.16,242.0,246.49,4384.162296489999
2015-06-22,BTC,245.05,247.93,244.14,248.4,6120.33417341
2015-06-23,BTC,247.91,244.29,243.01,248.05,5656.7294324800105
2015-06-24,BTC,244.29,240.38,239.51,244.28,5685.929177910001
2015-06-25,BTC,240.29,242.52,240.12,243.23,6389.182870620006
2015-06-26,BTC,242.46,243.04,239.91,243.46,6586.793379330004
2015-06-27,BTC,242.97,251.0,242.73,252.21,5817.3371779999925
2015-06-28,BTC,250.99,251.19,247.51,251.81,4897.1277775900035
2015-06-29,BTC,251.19,258.94,249.74,259.03,11625.005780840034
2015-06-30,BTC,258.92,264.72,258.85,268.98,11856.79402879001
2015-07-01,BTC,264.62,260.63,255.12,264.5,8797.475182119992
2015-07-02,BTC,260.62,256.38,253.0,261.98,18943.94053061997
2015-07-03,BTC,256.07,256.18,252.77,257.39,5176.977083280006
2015-07-04,BTC,256.0,262.34,254.4,262.77,4500.686263860003
2015-07-05,BTC,262.31,269.49,258.99,275.13,9287.598122479982
2015-07-06,BTC,269.48,271.51,268.3,277.88,10182.262788980008
2015-07-07,BTC,271.42,264.74,264.41,271.9,7144.035156490003
2015-07-08,BTC,264.54,268.73,264.54,273.97,8712.676715500014
2015-07-09,BTC,268.73,270.05,268.45,272.24,6456.326471099999
2015-07-10,BTC,270.03,286.22,269.42,294.71,16351.582548720015
2015-07-11,BTC,286.22,299.25,284.5,301.26,10259.548497970021
2015-07-12,BTC,299.24,309.49,298.21,316.49,11929.907158309987
2015-07-13,BTC,309.29,295.66,281.62,309.32,12996.401838369993
2015-07-14,BTC,295.48,289.96,286.25,297.77,7058.261416649994
2015-07-15,BTC,289.95,288.25,284.98,294.08,8310.411676480006
2015-07-16,BTC,288.25,279.45,275.0,289.55,8448.910034200013
2015-07-17,BTC,279.39,279.61,272.64,281.35,7006.83506762
2015-07-18,BTC,279.7,278.33,276.34,282.71,4536.256880230003
2015-07-19,BTC,278.3,275.49,273.34,278.48,4255.318563770001
2015-07-20,BTC,275.44,280.37,275.36,281.13,6023.279067889998
